"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 10-Nov-2023"
"NIFTY 100","25,094.35","25,132.65","24,754.20","25,013.30","24,787.70","-","-225.60","-0.90","35,67,26,712","25,322.73","27,335.65","19,696.10","-3.99","28.64"
"LODHA","1,195.00","1,291.00","1,187.50","1,187.50","1,240.50","-","53.00","4.46","40,73,603","513.73","1,649.95","839.00","1.51","39.04"
"ADANIENSOL","903.60","937.95","901.55","901.95","926.75","-","24.80","2.75","28,89,597","266.09","1,348.00","720.00","-7.66","18.61"
"JSWENERGY","739.95","776.90","739.30","739.25","753.85","-","14.60","1.97","42,64,321","324.54","804.90","384.80","4.61","93.17"
"TRENT","6,520.00","6,717.90","6,500.00","6,480.70","6,574.65","-","93.95","1.45","10,11,059","670.46","8,345.00","2,485.35","-21.30","160.34"
"LICI","930.50","958.00","925.75","918.45","927.70","-","9.25","1.01","18,94,185","178.43","1,222.00","598.25","-3.20","50.50"
"LTIM","6,007.00","6,037.00","5,972.05","5,974.60","6,021.75","-","47.15","0.79","1,60,936","96.77","6,574.95","4,513.55","-6.81","13.54"
"SUNPHARMA","1,801.90","1,825.00","1,795.10","1,794.60","1,807.00","-","12.40","0.69","13,07,031","237.44","1,960.35","1,171.00","-5.64","52.17"
"HCLTECH","1,891.00","1,892.95","1,872.05","1,867.30","1,880.00","-","12.70","0.68","17,17,750","323.16","1,892.95","1,235.00","1.50","48.74"
"INFY","1,871.10","1,881.00","1,861.85","1,860.10","1,871.70","-","11.60","0.62","31,61,482","592.02","1,991.45","1,358.35","-3.88","35.89"
"ONGC","260.85","263.20","256.25","256.90","258.25","-","1.35","0.53","1,79,82,747","466.40","345.00","188.15","-12.19","31.14"
"TORNTPHARM","3,170.00","3,200.35","3,052.00","3,151.65","3,165.05","-","13.40","0.43","2,31,619","73.40","3,590.70","2,024.65","-9.88","53.13"
