"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 10-Nov-2023"
"NIFTY MIDCAP 100","56,067.70","56,358.75","55,384.10","55,853.75","55,540.60","-","-313.15","-0.56","46,77,07,577","10,948.17","60,925.95","41,584.15","-5.67","37.12"
"JUBLFOOD","626.35","655.95","614.40","602.00","642.45","-","40.45","6.72","1,63,45,970","1,053.81","715.45","421.05","-4.40","18.60"
"UPL","530.00","552.80","524.00","515.15","532.10","-","16.95","3.29","82,70,992","447.17","625.00","447.80","-11.65","-5.85"
"PHOENIXLTD","1,471.05","1,518.95","1,466.20","1,462.35","1,506.00","-","43.65","2.98","2,90,267","43.52","2,068.50","995.00","-10.23","-27.97"
"TATAELXSI","6,560.00","6,694.95","6,483.30","6,524.90","6,639.30","-","114.40","1.75","3,28,644","216.02","9,200.00","6,411.20","-14.99","-19.00"
"MFSL","1,210.80","1,236.95","1,207.35","1,208.00","1,228.95","-","20.95","1.73","6,30,841","77.58","1,306.45","854.25","1.89","28.94"
"ASTRAL","1,725.00","1,751.75","1,711.85","1,713.55","1,740.85","-","27.30","1.59","4,86,040","84.35","2,454.00","1,710.00","-9.69","-9.40"
"MAXHEALTH","1,030.00","1,064.80","1,030.00","1,025.00","1,040.30","-","15.30","1.49","14,73,273","153.66","1,118.00","590.10","9.07","72.88"
"POONAWALLA","362.35","371.90","360.50","360.95","366.00","-","5.05","1.40","9,28,568","34.05","519.70","270.05","-5.19","-7.47"
"POLICYBZR","1,679.90","1,711.00","1,661.00","1,666.50","1,678.80","-","12.30","0.74","2,32,818","39.46","1,966.50","725.25","1.67","123.23"
"LUPIN","2,085.15","2,129.00","2,085.15","2,084.90","2,100.15","-","15.25","0.73","7,71,869","162.96","2,312.00","1,153.55","-6.28","76.66"
"COFORGE","8,150.00","8,159.95","8,025.00","8,066.90","8,125.10","-","58.20","0.72","3,10,830","251.51","8,159.95","4,287.25","9.30","56.97"
"MANKIND","2,654.90","2,689.90","2,650.10","2,646.65","2,664.60","-","17.95","0.68","84,454","22.57","2,874.00","1,821.00","-5.22","44.37"
"FACT","869.10","887.00","865.05","865.80","871.25","-","5.45","0.63","83,055","7.29","1,187.00","572.60","-5.63","19.98"
"BSE","4,675.00","4,783.90","4,621.05","4,623.15","4,646.70","-","23.55","0.51","13,88,644","653.15","4,989.80","1,941.05","2.82","129.92"
"SUNDARMFIN","4,280.00","4,381.75","4,272.10","4,278.20","4,299.00","-","20.80","0.49","17,982","7.78","5,535.85","3,105.55","-15.22","34.37"
"SJVN","109.95","111.77","109.20","109.12","109.65","-","0.53","0.49","32,22,534","35.64","170.50","75.00","-9.21","43.96"
"AUBANK","577.05","579.95","573.05","576.05","578.75","-","2.70","0.47","8,67,975","50.07","813.40","553.70","-16.56","-17.62"
"PATANJALI","1,860.00","1,875.55","1,856.00","1,856.80","1,865.20","-","8.40","0.45","1,22,499","22.85","1,992.20","1,169.95","6.50","28.32"
"RVNL","444.00","450.85","437.15","436.55","438.40","-","1.85","0.42","28,07,804","124.56","647.00","156.60","-8.17","179.48"
"BHARTIHEXA","1,374.95","1,413.45","1,366.00","1,374.80","1,379.80","-","5.00","0.36","1,53,590","21.33","1,568.00","755.00","-4.88","-"
"PERSISTENT","5,750.00","5,765.00","5,675.30","5,721.65","5,742.00","-","20.35","0.36","1,77,610","101.80","5,830.00","1,535.73","4.61","-8.40"
"MPHASIS","2,889.00","2,903.75","2,850.40","2,861.50","2,868.95","-","7.45","0.26","4,45,293","128.14","3,187.80","2,144.10","-0.52","29.94"
"TATACOMM","1,776.00","1,794.85","1,765.00","1,767.95","1,770.80","-","2.85","0.16","81,984","14.61","2,175.00","1,585.55","-9.97","3.47"
"YESBANK","19.95","20.14","19.88","19.89","19.90","-","0.01","0.05","2,80,42,156","56.06","32.85","18.15","-7.06","8.69"
"GODREJPROP","2,680.95","2,718.00","2,668.00","2,678.65","2,678.30","-","-0.35","-0.01","3,58,457","96.42","3,402.70","1,801.05","-11.13","47.37"
"TATATECH","999.00","1,005.65","990.05","996.15","996.00","-","-0.15","-0.02","3,65,070","36.47","1,400.00","970.10","-5.54","-"
"KALYANKJIL","705.00","719.45","697.30","700.20","699.95","-","-0.25","-0.04","30,54,820","216.49","786.25","304.10","-2.79","106.85"
"KPITTECH","1,430.00","1,430.95","1,394.35","1,407.45","1,406.60","-","-0.85","-0.06","3,72,616","52.52","1,928.70","1,293.05","-21.33","2.79"
"PRESTIGE","1,600.05","1,633.00","1,597.40","1,612.25","1,610.95","-","-1.30","-0.08","2,39,412","38.70","2,074.80","840.00","-13.06","84.65"
