"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 10-Nov-2023"
"NIFTY SMALLCAP 100","18,261.95","18,391.25","18,090.00","18,225.15","18,101.40","-","-123.75","-0.68","23,13,11,134","9,422.49","19,640.60","13,656.05","-4.12","36.36"
"RAMCOCEM","888.45","927.00","880.75","870.45","909.95","-","39.50","4.54","44,97,363","407.83","1,058.20","700.00","1.03","-11.74"
"TRITURBINE","671.00","698.65","647.00","625.35","652.05","-","26.70","4.27","1,68,19,763","1,136.21","843.95","350.35","-21.42","55.08"
"HBLPOWER","539.30","579.00","539.30","539.10","558.40","-","19.30","3.58","27,30,917","154.73","724.00","311.90","-10.85","68.86"
"AMBER","6,092.80","6,289.80","6,072.15","6,047.75","6,209.95","-","162.20","2.68","2,47,001","152.50","7,159.00","2,992.50","20.48","98.18"
"DATAPATTNS","2,280.00","2,349.85","2,213.05","2,182.25","2,239.90","-","57.65","2.64","4,63,181","105.17","3,655.00","1,751.00","-11.81","19.08"
"APARINDS","8,819.50","9,074.45","8,574.35","8,734.45","8,953.95","-","219.50","2.51","1,73,462","153.66","11,000.00","5,122.45","-16.24","71.01"
"SHYAMMETL","803.25","827.75","803.25","800.85","820.00","-","19.15","2.39","1,84,957","15.12","956.90","441.60","-12.08","75.51"
"BRIGADE","1,104.35","1,146.05","1,104.15","1,104.15","1,127.90","-","23.75","2.15","2,60,894","29.54","1,453.10","694.80","-14.72","57.53"
"KAYNES","5,655.00","5,848.15","5,647.15","5,633.00","5,746.50","-","113.50","2.01","3,85,358","222.51","6,037.95","2,275.85","0.76","130.09"
"SWANENERGY","530.05","555.55","522.60","527.40","538.00","-","10.60","2.01","39,97,166","216.60","782.25","413.00","-7.38","24.86"
"SIGNATURE","1,278.80","1,348.00","1,277.60","1,283.15","1,307.65","-","24.50","1.91","4,87,560","64.57","1,647.00","684.00","-13.92","88.60"
"CHAMBLFERT","479.95","494.75","479.80","479.80","487.45","-","7.65","1.59","16,50,560","80.85","574.35","300.05","-3.56","55.88"
"FSL","360.00","383.45","360.00","358.60","363.35","-","4.75","1.32","1,16,92,664","439.20","390.85","157.25","13.48","126.96"
"AEGISLOG","760.50","776.95","760.50","764.95","775.00","-","10.05","1.31","1,37,010","10.60","970.00","307.00","12.00","-"
"RITES","277.00","283.90","277.00","276.60","280.20","-","3.60","1.30","6,86,532","19.33","412.98","221.63","-11.80","-36.96"
"PVRINOX","1,465.00","1,502.50","1,464.95","1,464.00","1,483.05","-","19.05","1.30","2,48,224","36.98","1,830.40","1,204.20","-9.66","-12.14"
"NATCOPHARM","1,402.00","1,448.80","1,402.00","1,395.25","1,412.55","-","17.30","1.24","5,37,782","76.74","1,639.00","752.45","-2.85","82.02"
"FIVESTAR","632.80","646.15","632.10","633.30","641.05","-","7.75","1.22","3,73,065","23.90","943.75","600.05","-21.47","-19.75"
"LALPATHLAB","3,011.25","3,068.00","3,011.25","3,009.75","3,040.45","-","30.70","1.02","1,02,097","31.11","3,653.95","1,943.70","-14.15","12.43"
"ASTERDM","439.00","452.85","437.75","438.50","442.95","-","4.45","1.01","19,87,917","88.39","558.00","311.10","4.36","29.22"
"BATAINDIA","1,325.10","1,350.75","1,325.05","1,330.90","1,343.55","-","12.65","0.95","2,01,107","26.96","1,724.25","1,269.00","-5.35","-14.83"
"AARTIIND","442.05","449.15","440.00","439.75","443.60","-","3.85","0.88","28,04,696","124.57","769.25","427.00","-16.90","-13.97"
"PNBHOUSING","969.95","988.45","959.05","966.85","973.80","-","6.95","0.72","4,04,478","39.49","1,202.20","604.00","-0.73","30.02"
"REDINGTON","192.15","192.84","189.61","191.40","192.73","-","1.33","0.69","8,24,871","15.78","237.55","152.55","3.85","23.84"
"MANAPPURAM","155.50","160.18","155.01","156.11","157.10","-","0.99","0.63","1,16,76,266","184.56","230.40","136.10","-16.09","14.74"
"CAMS","4,746.00","4,892.20","4,730.35","4,720.10","4,747.25","-","27.15","0.58","3,57,728","172.65","4,969.85","2,463.15","4.63","94.61"
"RAYMOND","1,578.00","1,600.75","1,568.00","1,563.70","1,569.90","-","6.20","0.40","1,07,986","17.14","3,496.00","1,325.00","-2.48","-17.23"
"KEC","999.70","1,028.80","994.05","996.75","1,000.30","-","3.55","0.36","5,00,827","50.59","1,075.00","563.25","-0.20","72.82"
"IFCI","64.45","66.25","62.70","63.43","63.65","-","0.22","0.35","1,53,31,694","98.51","91.40","22.90","4.77","178.20"
"GODIGIT","337.30","345.00","334.10","333.85","334.75","-","0.90","0.27","3,68,108","12.51","407.40","278.55","-9.81","-"
"CESC","184.34","188.62","182.70","184.02","184.50","-","0.48","0.26","33,89,999","62.84","212.49","89.05","-0.80","106.65"
"RADICO","2,284.80","2,324.65","2,279.50","2,289.70","2,291.65","-","1.95","0.09","70,707","16.24","2,524.00","1,377.15","6.46","64.23"
"GMDCLTD","349.35","361.50","347.40","347.70","347.90","-","0.20","0.06","6,96,151","24.66","506.00","308.80","2.26","-8.31"
"ATUL","7,530.15","7,657.10","7,484.15","7,494.85","7,493.70","-","-1.15","-0.02","68,187","51.65","8,180.00","5,174.85","-4.99","12.68"
"HAPPSTMNDS","765.05","770.00","760.15","762.65","762.50","-","-0.15","-0.02","1,80,659","13.87","961.00","741.00","-4.76","-7.65"
"RAILTEL","399.00","406.95","393.40","394.55","394.35","-","-0.20","-0.05","8,89,307","35.77","617.80","246.10","-3.28","57.07"
"TANLA","750.70","752.60","746.80","750.70","750.25","-","-0.45","-0.06","1,91,248","14.34","1,248.00","719.10","-12.52","-20.68"
"UCOBANK","44.55","45.18","44.13","44.40","44.36","-","-0.04","-0.09","20,48,804","9.15","70.65","36.75","-1.90","20.00"
